date,cpi,gas_price,hourly_wage,year,month,month_name,cpi_yoy_pct,gas_yoy_pct,wage_yoy_pct,real_wage,real_wage_index
2011-03-01,223.046,3.5612500000000002,19.3,2011,3,March,2.619241510354109,28.490763457930424,2.0084566596194398,8.652923612169687,111.20358860952449
2011-04-01,224.093,3.7995,19.36,2011,4,April,3.0772344447868694,33.39770034231546,2.1097046413502074,8.639270302954577,111.02812225281467
2011-05-01,224.806,3.9061999999999997,19.41,2011,5,May,3.4589718808964998,37.72653550525349,2.1041557075223594,8.634111189203136,110.96181957999343
2011-06-01,224.806,3.68,19.41,2011,6,June,3.5023181506360412,34.72451034230277,1.9968470835522778,8.634111189203136,110.96181957999343
2011-07-01,225.395,3.6502499999999998,19.48,2011,7,July,3.5798809769996165,33.77004122766836,2.310924369747913,8.642605204197077,111.07098094456398
2011-08-01,226.106,3.6393999999999997,19.47,2011,8,August,3.75499603070808,33.32112242655138,1.8838304552590168,8.611005457617225,110.66487482640885
2011-09-01,226.597,3.61125,19.49,2011,9,September,3.812621692818685,33.50277264325323,1.9884877027734227,8.601173007586155,110.53851248030644
2011-10-01,226.75,3.4479999999999995,19.56,2011,10,October,3.5222681306640524,23.120871272986943,1.8219677251431365,8.626240352811466,110.8606670341786
2011-11-01,227.169,3.38375,19.56,2011,11,November,3.451432214581729,18.35431969220007,1.8219677251431365,8.610329754499952,110.65619098556579
2011-12-01,227.223,3.26575,19.57,2011,12,December,3.062066838419386,9.112930170397583,1.7680707228289183,8.612684455358831,110.68645257082248
2012-01-01,227.842,3.38,19.59,2012,1,January,3.0087663379855023,9.215458187928128,1.345059493016043,8.59806357036894,110.49855135356957
2012-02-01,228.329,3.57925,19.58,2012,2,February,2.8981784423473878,11.468389909685438,1.3982392542724043,8.575345225529826,110.20658512497317
2012-03-01,228.807,3.85175,19.64,2012,3,March,2.5828752813320977,8.157248157248143,1.7616580310880758,8.583653472140277,110.31335907555277
2012-04-01,229.187,3.9004,19.68,2012,4,April,2.2731633741348567,2.6556125806026953,1.6528925619834656,8.586874473683062,110.35475397819248
2012-05-01,228.713,3.73225,19.68,2012,5,May,1.7379429374660749,-4.4531770006655975,1.391035548686248,8.604670482220076,110.58346049415644
2012-06-01,228.524,3.53875,19.71,2012,6,June,1.653870448297634,-3.838315217391308,1.5455950540958385,8.624914669793982,110.84362993602423
2012-07-01,228.59,3.4392000000000005,19.75,2012,7,July,1.4175114798464783,-5.781795767413167,1.386036960985626,8.63992300625574,111.03651051008355
2012-08-01,229.918,3.7215,19.74,2012,8,August,1.6859349154821235,2.255866351596425,1.3867488443759513,8.585669673535781,110.3392704137997
2012-09-01,231.015,3.8485,19.79,2012,9,September,1.9497168982819613,6.569747317410868,1.5392508978963715,8.56654329805424,110.0934666039002
2012-10-01,231.638,3.7456000000000005,19.79,2012,10,October,2.1556780595369363,8.631090487239002,1.1758691206543936,8.543503224859478,109.79736566323312
2012-11-01,231.249,3.4517499999999997,19.84,2012,11,November,1.7960197033926262,2.0096047284817065,1.4314928425357865,8.579496559985124,110.25993625918382
2012-12-01,231.221,3.3104,19.9,2012,12,December,1.7595049796895523,1.3672203934777638,1.686254471129267,8.606484705108965,110.60677609300194
2013-01-01,231.679,3.3185000000000002,19.93,2013,1,January,1.684061762098299,-1.8195266272189259,1.7355793772332762,8.602419727295093,110.55453477656584
2013-02-01,232.937,3.67,19.99,2013,2,February,2.0181404902574807,2.535447370259125,2.093973442288055,8.581719520728779,110.28850477811594
2013-03-01,232.282,3.71125,20.01,2013,3,March,1.5187472411246183,-3.6476926072564364,1.8839103869653817,8.614528891605893,110.71015645852886
